Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,4,1,2,4,1,0,5,2,3,5,1,4,3,4,3,2,4,4,3,1,1,3,2,2,2,2,2,4,1,4,5,6,1,3,6,3,4,2,3,1,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4_1_2_4_1_0_5_2_3_5_1_4_3_4_3_2_4_4_3_1_1_3_2_2_2_2_2_4_1_4_5_6_1_3_6_3_4_2_3_1_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_4_1_2_4_1_0_5_2_3_5_1_4_3_4_3_2_4_4_3_1_1_3_2_2_2_2_2_4_1_4_5_6_1_3_6_3_4_2_3_1_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1714,4,1,2,4,1,0,5,2,3,5,1,4,3,4,3,2,4,4,3,1,1,3,2,2,2,2,2,4,1,4,5,6,1,3,6,3,4,2,3,1,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4_1_2_4_1_0_5_2_3_5_1_4_3_4_3_2_4_4_3_1_1_3_2_2_2_2_2_4_1_4_5_6_1_3_6_3_4_2_3_1_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_4_1_2_4_1_0_5_2_3_5_1_4_3_4_3_2_4_4_3_1_1_3_2_2_2_2_2_4_1_4_5_6_1_3_6_3_4_2_3_1_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1525,4,1,2,4,1,1,5,0,4,4,2,4,4,4,2,2,4,4,3,0,0,4,1,2,3,2,3,3,0,6,3,7,1,2,6,3,3,3,4,1,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_1_2_4_1_1_5_0_4_4_2_4_4_4_2_2_4_4_3_0_0_4_1_2_3_2_3_3_0_6_3_7_1_2_6_3_3_3_4_1_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_1_2_4_1_1_5_0_4_4_2_4_4_4_2_2_4_4_3_0_0_4_1_2_3_2_3_3_0_6_3_7_1_2_6_3_3_3_4_1_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2622,4,1,2,4,1,1,5,0,4,4,2,4,4,4,2,2,4,4,3,0,0,4,1,2,3,2,3,3,0,6,3,7,1,2,6,3,3,3,4,1,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_1_2_4_1_1_5_0_4_4_2_4_4_4_2_2_4_4_3_0_0_4_1_2_3_2_3_3_0_6_3_7_1_2_6_3_3_3_4_1_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_1_2_4_1_1_5_0_4_4_2_4_4_4_2_2_4_4_3_0_0_4_1_2_3_2_3_3_0_6_3_7_1_2_6_3_3_3_4_1_0_4_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1825,4,3,2,4,1,2,1,5,2,7,0,2,1,6,3,2,5,2,5,2,1,1,0,2,4,3,1,2,0,2,7,7,0,2,5,4,1,1,8,0,0,5,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4_3_2_4_1_2_1_5_2_7_0_2_1_6_3_2_5_2_5_2_1_1_0_2_4_3_1_2_0_2_7_7_0_2_5_4_1_1_8_0_0_5_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_4_3_2_4_1_2_1_5_2_7_0_2_1_6_3_2_5_2_5_2_1_1_0_2_4_3_1_2_0_2_7_7_0_2_5_4_1_1_8_0_0_5_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5236,4,3,2,4,1,2,1,5,2,7,0,2,1,6,3,2,5,2,5,2,1,1,0,2,4,3,1,2,0,2,7,7,0,2,5,4,1,1,8,0,0,5,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4_3_2_4_1_2_1_5_2_7_0_2_1_6_3_2_5_2_5_2_1_1_0_2_4_3_1_2_0_2_7_7_0_2_5_4_1_1_8_0_0_5_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_4_3_2_4_1_2_1_5_2_7_0_2_1_6_3_2_5_2_5_2_1_1_0_2_4_3_1_2_0_2_7_7_0_2_5_4_1_1_8_0_0_5_6_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1700,5,1,2,4,1,1,5,2,3,5,1,4,2,5,2,4,3,3,4,2,0,2,2,1,4,2,2,2,2,1,8,5,1,3,5,4,1,2,4,3,1,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5_1_2_4_1_1_5_2_3_5_1_4_2_5_2_4_3_3_4_2_0_2_2_1_4_2_2_2_2_1_8_5_1_3_5_4_1_2_4_3_1_6_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_5_1_2_4_1_1_5_2_3_5_1_4_2_5_2_4_3_3_4_2_0_2_2_1_4_2_2_2_2_1_8_5_1_3_5_4_1_2_4_3_1_6_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2996,5,1,2,4,1,1,5,2,3,5,1,4,2,5,2,4,3,3,4,2,0,2,2,1,4,2,2,2,2,1,8,5,1,3,5,4,1,2,4,3,1,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5_1_2_4_1_1_5_2_3_5_1_4_2_5_2_4_3_3_4_2_0_2_2_1_4_2_2_2_2_1_8_5_1_3_5_4_1_2_4_3_1_6_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_5_1_2_4_1_1_5_2_3_5_1_4_2_5_2_4_3_3_4_2_0_2_2_1_4_2_2_2_2_1_8_5_1_3_5_4_1_2_4_3_1_6_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
951,5,1,3,3,1,2,3,1,4,6,1,2,1,4,5,1,6,2,2,1,0,6,1,2,1,3,2,2,3,7,2,6,1,2,6,3,2,6,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5_1_3_3_1_2_3_1_4_6_1_2_1_4_5_1_6_2_2_1_0_6_1_2_1_3_2_2_3_7_2_6_1_2_6_3_2_6_2_0_0_3_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_5_1_3_3_1_2_3_1_4_6_1_2_1_4_5_1_6_2_2_1_0_6_1_2_1_3_2_2_3_7_2_6_1_2_6_3_2_6_2_0_0_3_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5029,5,1,3,3,1,2,3,1,4,6,1,2,1,4,5,1,6,2,2,1,0,6,1,2,1,3,2,2,3,7,2,6,1,2,6,3,2,6,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5_1_3_3_1_2_3_1_4_6_1_2_1_4_5_1_6_2_2_1_0_6_1_2_1_3_2_2_3_7_2_6_1_2_6_3_2_6_2_0_0_3_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_5_1_3_3_1_2_3_1_4_6_1_2_1_4_5_1_6_2_2_1_0_6_1_2_1_3_2_2_3_7_2_6_1_2_6_3_2_6_2_0_0_3_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5289,6,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4727,6,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2147,6,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_2_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_2_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3094,6,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_2_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_0_7_2_0_7_2_0_0_6_3_2_7_0_2_0_0_7_0_0_2_3_4_0_0_0_9_7_2_0_7_2_0_6_3_0_0_4_8_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_2_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2133,6,1,3,2,2,1,4,2,3,7,1,2,1,3,6,2,4,3,3,1,0,4,2,1,2,2,3,3,0,2,7,7,1,1,5,4,1,3,5,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_1_4_2_3_7_1_2_1_3_6_2_4_3_3_1_0_4_2_1_2_2_3_3_0_2_7_7_1_1_5_4_1_3_5_1_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_1_4_2_3_7_1_2_1_3_6_2_4_3_3_1_0_4_2_1_2_2_3_3_0_2_7_7_1_1_5_4_1_3_5_1_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5437,6,1,3,2,2,1,4,2,3,7,1,2,1,3,6,2,4,3,3,1,0,4,2,1,2,2,3,3,0,2,7,7,1,1,5,4,1,3,5,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_1_4_2_3_7_1_2_1_3_6_2_4_3_3_1_0_4_2_1_2_2_3_3_0_2_7_7_1_1_5_4_1_3_5_1_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_1_4_2_3_7_1_2_1_3_6_2_4_3_3_1_0_4_2_1_2_2_3_3_0_2_7_7_1_1_5_4_1_3_5_1_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1771,6,1,3,2,2,2,1,1,6,9,0,0,0,2,7,7,2,1,7,0,0,1,1,1,6,1,2,1,0,0,9,8,1,0,1,8,0,1,7,2,1,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_2_1_1_6_9_0_0_0_2_7_7_2_1_7_0_0_1_1_1_6_1_2_1_0_0_9_8_1_0_1_8_0_1_7_2_1_6_8_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_2_1_1_6_9_0_0_0_2_7_7_2_1_7_0_0_1_1_1_6_1_2_1_0_0_9_8_1_0_1_8_0_1_7_2_1_6_8_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5673,6,1,3,2,2,2,1,1,6,9,0,0,0,2,7,7,2,1,7,0,0,1,1,1,6,1,2,1,0,0,9,8,1,0,1,8,0,1,7,2,1,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6_1_3_2_2_2_1_1_6_9_0_0_0_2_7_7_2_1_7_0_0_1_1_1_6_1_2_1_0_0_9_8_1_0_1_8_0_1_7_2_1_6_8_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_6_1_3_2_2_2_1_1_6_9_0_0_0_2_7_7_2_1_7_0_0_1_1_1_6_1_2_1_0_0_9_8_1_0_1_8_0_1_7_2_1_6_8_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5689,6,1,3,3,2,0,7,2,0,9,0,0,0,3,6,6,3,0,6,2,0,2,0,0,7,2,0,0,0,0,9,7,2,0,2,7,0,0,7,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_0_7_2_0_9_0_0_0_3_6_6_3_0_6_2_0_2_0_0_7_2_0_0_0_0_9_7_2_0_2_7_0_0_7_2_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_0_7_2_0_9_0_0_0_3_6_6_3_0_6_2_0_2_0_0_7_2_0_0_0_0_9_7_2_0_2_7_0_0_7_2_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
526,6,1,3,3,2,0,7,2,0,9,0,0,0,3,6,6,3,0,6,2,0,2,0,0,7,2,0,0,0,0,9,7,2,0,2,7,0,0,7,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_0_7_2_0_9_0_0_0_3_6_6_3_0_6_2_0_2_0_0_7_2_0_0_0_0_9_7_2_0_2_7_0_0_7_2_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_0_7_2_0_9_0_0_0_3_6_6_3_0_6_2_0_2_0_0_7_2_0_0_0_0_9_7_2_0_2_7_0_0_7_2_0_5_8_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3205,6,1,3,3,2,1,4,1,4,7,1,2,0,5,4,0,8,1,4,0,0,2,2,1,0,4,0,5,0,5,4,6,2,1,5,4,0,9,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_1_4_1_4_7_1_2_0_5_4_0_8_1_4_0_0_2_2_1_0_4_0_5_0_5_4_6_2_1_5_4_0_9_0_0_0_3_8_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_1_4_1_4_7_1_2_0_5_4_0_8_1_4_0_0_2_2_1_0_4_0_5_0_5_4_6_2_1_5_4_0_9_0_0_0_3_8_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
2182,6,1,3,3,2,1,4,1,4,7,1,2,0,5,4,0,8,1,4,0,0,2,2,1,0,4,0,5,0,5,4,6,2,1,5,4,0,9,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_1_4_1_4_7_1_2_0_5_4_0_8_1_4_0_0_2_2_1_0_4_0_5_0_5_4_6_2_1_5_4_0_9_0_0_0_3_8_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_1_4_1_4_7_1_2_0_5_4_0_8_1_4_0_0_2_2_1_0_4_0_5_0_5_4_6_2_1_5_4_0_9_0_0_0_3_8_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
738,6,1,3,3,2,1,5,2,3,7,1,2,0,2,7,4,4,2,5,1,0,3,1,1,5,1,2,2,1,1,8,7,0,2,4,5,2,2,4,2,1,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_1_5_2_3_7_1_2_0_2_7_4_4_2_5_1_0_3_1_1_5_1_2_2_1_1_8_7_0_2_4_5_2_2_4_2_1_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_1_5_2_3_7_1_2_0_2_7_4_4_2_5_1_0_3_1_1_5_1_2_2_1_1_8_7_0_2_4_5_2_2_4_2_1_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
422,6,1,3,3,2,1,5,2,3,7,1,2,0,2,7,4,4,2,5,1,0,3,1,1,5,1,2,2,1,1,8,7,0,2,4,5,2,2,4,2,1,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_3_3_2_1_5_2_3_7_1_2_0_2_7_4_4_2_5_1_0_3_1_1_5_1_2_2_1_1_8_7_0_2_4_5_2_2_4_2_1_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_3_3_2_1_5_2_3_7_1_2_0_2_7_4_4_2_5_1_0_3_1_1_5_1_2_2_1_1_8_7_0_2_4_5_2_2_4_2_1_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3774,6,1,5,2,2,1,5,1,3,6,1,3,0,1,8,0,1,8,8,0,1,1,0,1,0,1,8,1,0,1,8,6,1,2,6,3,0,0,9,0,0,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_5_2_2_1_5_1_3_6_1_3_0_1_8_0_1_8_8_0_1_1_0_1_0_1_8_1_0_1_8_6_1_2_6_3_0_0_9_0_0_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_5_2_2_1_5_1_3_6_1_3_0_1_8_0_1_8_8_0_1_1_0_1_0_1_8_1_0_1_8_6_1_2_6_3_0_0_9_0_0_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2544,6,1,5,2,2,1,5,1,3,6,1,3,0,1,8,0,1,8,8,0,1,1,0,1,0,1,8,1,0,1,8,6,1,2,6,3,0,0,9,0,0,5,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6_1_5_2_2_1_5_1_3_6_1_3_0_1_8_0_1_8_8_0_1_1_0_1_0_1_8_1_0_1_8_6_1_2_6_3_0_0_9_0_0_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_1_5_2_2_1_5_1_3_6_1_3_0_1_8_0_1_8_8_0_1_1_0_1_0_1_8_1_0_1_8_6_1_2_6_3_0_0_9_0_0_5_8_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
